1.319885,1.184628
1.096651,-1.330705
0.833205,0.373551
-0.968780,0.796671
-1.248815,-1.550076
0.191708,0.082903
-0.208480,0.597457
0.502820,-1.384145
2.248643,-0.136350
-0.472681,-0.531486
0.872750,1.325122
1.310030,-1.265558
-0.334182,-1.810542
1.054778,-0.577059
-0.133605,-0.541841
0.497585,-0.220083
1.277330,0.577022
0.433155,-0.687668
-1.473363,1.113363
2.012200,-0.121200
1.249927,0.460385
1.459046,-0.248757
-1.099443,-0.269854
0.993382,-1.246331
0.133546,0.841093
0.974341,0.013753
-0.132297,-0.984301
-1.451880,-0.129220
0.156694,-1.030929
1.763371,-0.334380
